"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s已添加至您的收藏夹。点击<a href=""%2$s"">这里</a> 继续购物。"
"%1$s has been updated in your wishlist.","%1$s已在您的收藏夹更新。"
"%d product(s) have been added to shopping cart: %s.","已成功将%d件商品添加至购物车: %s."
"%s has been moved to wishlist %s","%s已移至您的收藏夹 %s。"
"%s tag(s) have been accepted for moderation.","标签%s已经创建。"
"%s was added to your shopping cart.","已将%s放入您的购物车。"
"%s was removed from your wishlist.","已将%s从收藏夹中删除。"
"%s was updated in your shopping cart.","%s已在您的购物车更新。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","请输入至少6位的密码，避免输入空格或符号。"
"Please enter your email.","请输入您的电邮地址。"
"Please, check your email for confirmation key.","请查看电邮中的验证码。"
"Please login first.","请先登录"
"Please make sure your passwords match.","输入的密码不匹配。"
"Please specify the product's option(s).","请选择商品。"
"Please specify payment method.","请选择付款方式。"
"Please specify shipping method.","请选择配送方式。"
"Processing...","处理中…"
"Redeem success! Your gift card code is %s and has been sent to your email","兑换成功！您已获得礼品卡 %s，请到您的邮箱中查收"
"Requested link does not exist.","指定的链接不存在。"
"Reward Points ""%s"" were converted to ""%s"" in gift card","""%s""积分已转化成礼品卡""%s""."
"reward points more than num in your account","您的账户没有足够的积分。"
"Reward points will not be used in this order.","这个订单不能使用积分。"
"Service temporarily unavailable.","暂时未能提供服务。"
"Shopping cart has been updated with appropriate prices","您的购物车已更新。"
"Signing in...","登录中…"
"Some emails were not sent.","部分电邮未能成功发送。"
"Some of the requested products are not available in the desired quantity.","部分商品没有足够库存。"
"Some of the requested products are unavailable.","部分商品已下架。"
"Sorry, there was an error getting requested content. Please contact the store owner.","很抱歉，下载内容时发生错误。请联系熙熙网客服。"
"State/Province does not exist.","省份不存在。"
"State/Province is required.","省份是必须填写的。"
"Subtotal must exceed minimum order amount","订单必须超過最小订单金额。"
"Success : Cancel Weibo Binding","取消微博绑定成功"
"Tag ""%s"" has already been added to the product.","标签""%s""已成功添加到这件商品。"
"Tag ""%s"" has been added to the product.","标签""%s""已成功添加到这件商品。"
"Tag ""%s"" has been rejected by administrator.","标签""%s""不成功。"
"Thank you for registering with %s","谢谢您使用%s注册。"
"Thank you for registering with %s.","谢谢您使用%s注册。"
"Thank you for your subscription.","谢谢您的订阅。"
"The account information has been saved.","您的账号信息已保存。"
"The address has been deleted.","地址已删除。"
"The address has been saved.","地址已保存。"
"The billing agreement ""%s"" has been canceled.","帐单已被取消。"
"The link has expired.","链接已过期。"
"The link is not available.","链接已不存在。"
"The link to a friend was sent.","这个链接已成功发送给您的朋友。"
"The messages cannot be sent more than %d times in an hour","这个信息不能在一个小时内重复发送多于%d次。"
"The onepage checkout is disabled.","不支持单页面付款。"
"The product was not found.","找不到商品。"
"The reward points have been removed from the order.","积分已从订单中删除。"
"The subscription has been removed.","订阅已删除。"
"The subscription has been saved.","订阅已保存。"
"The tag has been deleted.","标签已删除。"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","这个电邮地址已经存在。如果您确定这是您的电子邮箱，请<a href=""%s"">点击这里</a>来获取您的账号密码。"
"There was a problem with the subscription.","订阅时出现问题。"
"There was a problem with the subscription: %s","%s"
"There was a problem with the un-subscription.","取消订阅时出现问题。"
"This account is not confirmed.","此帐户尚未确认。"
"This account is not confirmed. <a href="%s">Click here</a> to resend confirmation email.","此帐户尚未确认。<a href="%s">点击这里</a>重新发送验证邮件。"
"This is a required field.","此为必填栏目。"
"Mobilephone Not Match Rule.","手机号不符合规则。"
"This customer email already exists","此电邮地址已经存在。"
"This email address is already assigned to another user.","此电邮地址已经被注册。"
"This email address has been subscribed.","此电邮地址已订阅煕熙网电子报。谢谢！"
"This email does not require confirmation.","此邮件不要求验证。"
"This order has been placed by registered customer. Please, authorize and request RMA via customer account.","请登入我的账户申请退换货"
"This product(s) is currently out of stock","此商品暂时缺货。"
"This product(s) is currently out of stock","此商品暂时缺货。"
"To proceed to Checkout, please log in using your email address.","请使用您的电邮地址登陆进行结算。"
"Unable to cancel Express Checkout.","不能取消快速支付。"
"Unable to initialize Express Checkout review.","不能初始化快速支付。"
"Unable to place the order.","未能成功下单。"
"Unable to process Express Checkout approval.","不能处理快速支付。"
"Unable to remove tag. Please, try again later.","不能删除标签。请稍后重试。"
"Unable to save tag(s).","不能保存标签。"
"Unable to start Express Checkout.","不能开始快速支付。"
"Unable to submit your request. Please, try again later","未能提交您的要求，请稍后再试"
"Unable to update Order data.","未能更新订单数据。"
"Unable to update shipping method.","未能更新配送方式。"
"Wishlist could not be created.","未能建立收藏夹。"
"Wishlist could not be created.","未能建立收藏夹。"
"Wrong customer account specified.","帐号错误。"
"Wrong email.","电邮地址错误。"
"Wrong gift card code.","礼品卡代码错误。"
"Wrong form data","数据格式错误。"
"You can't comment resolved RMA","已完成的退换货申请不能提交评论。"
"You have been unsubscribed.","您已经取消订阅。"
"You have been unsubscribed.","您已经取消订阅。"
"You have no completed orders to request RMA or your orders were placed more than 30 days ago","您没有符合退换货要求的订单。"
"You will receive welcome email with registration info in a moment.","您將很快收到带有注册信息的欢迎邮件。"
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","已成功关联您的facebook账号。现在可以利用您的facebook账号进行快速登录。"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的问题已提交，我们会尽快回复。感谢联系我们！"
"Your password has been updated.","您的密码已更新。"
"Your password reset link has expired.","您的密码重置链接已过期。"
"Your RMA is currently waiting for approval","您的退换货申请正等待审批。"
"Your RMA successfully canceled","您的退换货申请已成功取消。"
"Your subscription has been confirmed.","您的订阅已经确认。"
"Your review has been accepted for moderation.","您的评论已提交审核。"
