"# of Use","# 使用"
"Input Type","輸入類型"
"Input Validation for Store Owner","輸入格式"
"Integer","整數"
"Integer Number","整數"
"Invalid Tier Prices","I錯誤的分級價格"
"Invalid attribute option specified for attribute %s (%s), skipping the record","屬性%s (%s)的屬性選項不正確，忽略該記錄"
"Invalid attribute set specified, skipping the record","屬性組合不正確，忽略該記錄"
"Invalid block: %s","方框不正確：%s"
"Invalid category","錯誤的分類"
"Invalid category IDs","分類編號不正確"
"Invalid image file type","圖片文件類型不正確"
"Invalid image type.","錯誤的圖片類型"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的選項編號不正確，忽略該記錄"
"Invalid product type specified, skipping the record","商品類型不正確，忽略該記錄"
"Invalid store specified","錯誤的指定商店"
"Invalid store specified, skipping the record","商店不正確，忽略該記錄"
"Inventory","庫存"
"Is Default","為默認"
"Is Required","必填項"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要顯示在目錄或搜索結果中的商品， 相應商店中的狀態要設置為'禁用'。"
"Label","標籤"
"Last Name","姓氏"
"Last Notification","最新提醒"
"Learn More","瞭解更多"
"Length of text is too long","文本過長"
"Letters","字母"
"Letters(a-zA-Z) or Numbers(0-9)","字母(a-zA-Z)或數字(0-9)"
"Line %d, Email: %s","行%d，電子郵件：%s"
"Line %d, SKU: %s","行%d，SKU: %s"
"Link (Related, Up sell, Cross sell)","連接（關聯，推薦銷售，交叉銷售）"
"Link product not exists.","連接產品不存在。"
"List","列表"
"List Mode","列表式"
"Manage Attribute Sets","屬性分組管理"
"Manage Attributes","屬性管理"
"Manage Catalog Categories","目錄分類管理"
"Manage Categories","目錄分類管理"
"Manage Label / Options","標籤 /選項管理"
"Manage Options (values of your attribute)","選項管理 (屬性值)"
"Manage Product Attributes","商品屬性管理"
"Manage Product Sets","商品分組管理"
"Manage Products","商品管理"
"Manage Stock","管理庫存"
"Manage Titles (Size, Color, etc.)","管理標題 (大小、顏色等。)"
"Max Characters","最大字符數目"
"Maximal Depth","最大層數"
"Maximum Qty Allowed in Shopping Cart","購物車中允許的最多商品數量"
"Maximum number of characters","最大字符數目"
"Media Image","媒體圖片"
"Minimum Qty Allowed in Shopping Cart","購物車中必須的最少商品數量"
"Minimum Qty for Item's Status to be Out of Stock","商品缺貨狀態的最低數量"
"Missing SKU, skipping the record","缺少 SKU，忽略該記錄"
"More Views","更多"
"Move","移動"
"Move category in tree","移目錄分類至樹狀式分類"
"Multiple Select","多選"
"Name","名稱"
"Name In %s","%s中名稱"
"Name<br/>(For internal use)","名稱<br/>(內部使用)"
"New Arrivals","新品"
"New Category","新分類"
"New Product","新商品"
"New Product Attribute","新商品屬性"
"New Products","新商品"
"New Search","新搜尋"
"New Set Name","新組名字"
"Newest First","最新貨品"
"Next","下一步"
"Next Page","下一頁"
"Next<br/>Look","後一個<br/>造型"
"No","不要"
"No image","無圖片"
"No layout updates","無頁面更新"
"No options of this product are available.","此商品之選項不存在。"
"No product collections found","沒有找到商品組合"
"None","無"
"Not shared with other products","沒有與其它商品共享"
"Notify Low Stock RSS","RSS低庫存提醒"
"Notify for Quantity Below","提醒數量低於"
"Nowhere","不可見"
"Number of Uses","使用次數"
"Number of results<br/>(For last time placed)","結果數量<br/>(最後一次)"
"OR","或"
"Old Price:","舊價格:"
"Option:","選項:"
"Options Control","選項控制"
"Options is required","必填選項"
"Out of Stock","無庫存"
"Out of stock","無庫存"
"Out of stock.","缺貨。"
"PM","PM"
"Page Title Separator","頁面標題分界線"
"Page:","頁："
"Parent Category","主（Parent）目錄分類"
"Pending","待審"
"Pending Reviews RSS","待審評論的RSS"
"Percentage","百分比"
"Please add rows to option.","請添加行選項。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","請注意，當您點擊所選擇的文件欄段（row）後，該文件包的數據將被加載，所有未儲存的數據將不被保留。"
"Please click on Close Window button if it won't be closed automatically","如果窗口沒有自動關閉，點關閉按鈕"
"Please enter a new group name","請輸入新的分組名稱"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","請通過 系統-> <a href=""%s"">緩存管理</a> 刷新""目錄重寫""和""分層導航索引"""
"Please select  items","請選擇商品"
"Please select one or more attributes.","請選擇一個或更多屬性。"
"Please select product(s)","請選擇商品"
"Please select products for attributes update","請選擇商品以更新屬性。"
"Please select static block ...","請選擇固定方框 ..."
"Please specify the product option(s)","請指定產品選項"
"Please specify the product required option(s)","請指定商品的必選項。"
"Please specify the product(s) quantity","請指定產品數量"
"Position","位置"
"Position In Layered Navigation","層導航中位置"
"Position of attribute in layered navigation block","於layered navigation區塊內的屬性位置"
"Prev","前頁"
"Previous Page","上一頁"
"Prev<br/>Look","前一個<br/>造型"
"Previous","前頁"
"Price","價格"
"Price Type","價格類型"
"Price values for options should be specified in system base currency.","價格選項值必須指定在系統的基準貨幣裡。"
"Price:","價格:"
"Price - High to Low","價格-從高到低"
"Price - Low to High","價格-從低到高"
"Print This Page","打印此頁"
"Problem saving the collection, aborting. Error: %s","保存組合時出錯，退出。錯誤：%s"
"Product","商品"
"Product %s successfully added to compare list","成功增加商品%s到比較列表"
"Product %s successfully removed from compare list","成功從比較列表中刪除商品%s"
"Product API","商品API"
"Product Alerts","商品提示"
"Product Attribute","商品屬性"
"Product Attributes","商品屬性"
"Product Categories","商品目錄"
"Product Description","商品說明"
"Product Image Placeholders","商品圖像方框"
"Product Image Watermarks","商品水印圖片"
"Product Images","商品圖片"
"Product Images API","商品圖片API"
"Product In Websites","商品於網站中"
"Product Info Column","商品信息欄"
"Product Information","商品信息"
"Product Name","商品名"
"Product Reviews","商品評論"
"Product Tags","商品標籤"
"Product Tier Price API","商品分級價格API"
"Product Type","商品類型"
"Product URL Suffix","商品URL後綴"
"Product attribute sets API","商品屬性組API"
"Product attribute was successfully deleted","成功刪除商品屬性"
"Product attribute was successfully saved","成功保存商品屬性"
"Product attributes API","商品屬性API"
"Product collection expected","需要商品組合"
"Product deleted","商品已刪除"
"Product duplicated","商品重複"
"Product has required options","商品包含必選項"
"Product links API (related, cross sells, up sells)","商品連接 API （相關商品，交叉銷售，推薦銷售）"""
"Product listing sort by","Product listing sort by"
"Product saving error.","保存商品出錯。"
"Product saving error. ","商品保存有誤。 "
"Product types API","商品類型API"
"Product was successfully created.","成功創建商品。"
"Product was successfully saved.","成功保存商品"
"Product with this combination of attributes already associated to configurable.","此組合之屬性商品已經綁定到可設置裡"
"Products","商品"
"Products Information","商品信息"
"Products Reviews","商品評論"
"Products Sitemap","商品檢索"
"Products only","僅限於商品"
"Products per Page on Grid default value","每頁多欄商品數量的缺省值"
"Products per Page on List allowed values","單欄列表模式下每頁商品顯示數允許值"
"Products per Page on List default value","每頁列表商品數量的缺省值"
"Products per page on Grid allowed values","多欄模式下每頁商品顯示數量允許值"
"Properties","屬性"
"Qty","件數"
"Qty Uses Decimals","使用十進制於件數中"
"Qty for Item's Status to become Out of Stock","商品件數狀態置為無庫存"
"Quick Create","快速創建"
"Quick Overview","快速查看"
"Quick simple product creation","簡單商品快速創建"
"Records for ""","記錄於"""
"Redirect","重定向"
"Redirect URL","重定向URL"
"Regular Price:","原價:"
"Related Products","相關商品"
"Remove","刪除"
"Remove Product","刪除商品"
"Remove Product From Websites","於網站中刪除商品"
"Remove This Item","刪除此商品"
"Remove product assignment","刪除商品派任"
"Remove product image","刪除商品圖片"
"Remove product link","刪除商品鏈接"
"Required","必填"
"Reset","重置"
"Results","結果"
"Retrieve attribute data","讀取屬性數據"
"Retrieve attribute list","讀取屬性列表"
"Retrieve attribute options","讀取屬性選項
"Retrieve categories tree","獲取分類樹"
"Retrieve category attributes","讀取目錄屬性"
"Retrieve category data","讀取目錄數據"
"Retrieve hierarchical tree","讀取分級(目錄)樹"
"Retrieve linked products","讀取已連接商品"
"Retrieve list of assigned products","讀取已指派之商品列表"
"Retrieve one level of categories by website/store view/parent category","由網站/商店/主目錄裡讀取（其中）一級目錄分類"
"Retrieve product","讀取商品"
"Retrieve product attribute sets","讀取商品屬性組"
"Retrieve product image","讀取商品圖片"
"Retrieve product image list","讀取商品圖片列表"
"Retrieve product image types","讀取商品圖片類型"
"Retrieve product link type attributes","讀取商品連接類型屬性"
"Retrieve product link types","讀取商品連接類型"
"Retrieve product tier prices","讀取商品分級價格"
"Retrieve product types","讀取商品連類型"
"Retrieve products data","讀取商品數據"
"Retrieve products list by filters","過濾式讀取商品列表"
"Review successfully deleted","成功刪除評論"
"Review was saved successfully","成功保存評論"
"Review was successfully saved","成功保存評論"
"Reviews","評論"
"Roll Over for preview","（鼠標）滑過預覽"
"Root","根（最高級目錄）"
"SKU","商品號碼"
"Save","儲存"
"Save And Continue Edit","保存並繼續修改"
"Save Attribute","儲存屬性"
"Save Attribute Set","儲存屬性組"
"Save Category","儲存目錄"
"Save Search","儲存搜尋"
"Saved ","保存 "
"Scope","範圍"
"Search","搜尋"
"Search Engine Optimizations","搜尋器優化"
"Search Information","搜尋信息"
"Search Query","搜尋要求"
"Search Term was successfully saved","成功保存搜索關鍵詞"
"Search Term with such search query already exist.","搜索關鍵詞已存在。"
"Search was successfully deleted","成功刪除搜索"
"Searchable","可搜尋"
"Select Configurable Attributes ","選擇可設置屬性"
"Select type of option","選擇選項類型"
"Select type options required values rows.","選擇類型選項需指定選項值數組"
"Selected Product Types","選擇商品類型"
"Selected configuration is not available.","所選的設置無效。"
"Send Count","發送計算"
"Set Ascending Direction","設為升序"
"Set Descending Direction","設為降序"
"Set Name","設置名稱"
"Set Root Category For Store","給商店設置根分類"
"Set root category for this store in the <a href=""%s"">configuration</a>","於<a href=""%s"">設置</a>裡設最高級目錄於此商店"
"Set special price","設特價"
"Set/Get current store view","設或讀取現有商店"
"Settings","設置"
"Shop by","購物"
"Shopping Options","分類選項"
"Show","顯示"
"Show Details","顯示詳情"
"Show Tags","顯示標籤"
"Simple Product","單一商品"
"Site Map","網站地圖"
"Sitemap","網站地圖"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略導入行，不是正確的 ""%s"" 在欄目 ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","忽略導入行，新客戶的必填欄目""%s""未定義"
"Skip import row, required field ""%s"" for new products not defined","忽略導入行，新商品的必填欄目""%s""未定義"
"Skip import row, required field ""%s"" not defined","忽略導入行，必填欄目""%s""未定義"
"Skip import row, store ""%s"" field not exists","忽略導入行，商店""%s""欄目不存在"
"Sort Order","排序"
"Sort by","排序"
"Source Model","源型號"
"Special Price:","特價:"
"Starting at:","起價:"
"Static","靜態"""
"Static block and products","固定方框/區塊和商品"
"Static block only","僅用於固定方框/區塊"
"Status","狀態"
"Stock Availability","庫存情況"
"Store","商店"
"Store View","商店界面"
"Stretch","伸展"
"Subscribe to Feed","訂閱Feed"
"Subscribe to RSS Feed","訂閱RSS Feed"
"Super product attributes configuration","高級商品屬性設置"
"Synonym For","同義"
"Synonym for","同義"
"System","系統"
"System Properties","系統屬性"
"Tag Name","標籤名稱"
"Tax","稅"
"Text","文本"
"Text Area","文字區域"
"Text Field","文字欄目"
"There are no %s available.","沒有%s。"
"There are no customers for this alert","這提示裡沒有顧客檔案。"
"There are no products matching the selection.","此選擇裡沒有可匹配的商品"
"There was an error while adding products to websites","增加商品到網站時出錯"
"There was an error while cleared compare list","清空比較列表出錯"
"There was an error while removing products from websites","從網站刪除商品時出錯"
"There was an error while updating product(s) attributes","更新商品屬性時出錯"
"There was an error while updating product(s) status","更新商品狀態出錯"
"This attribute no longer exists","此屬性組經已不存在。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","此組別有用於可設置商品之屬性。請移這些屬性到另一組別裡，然後再試。"
"This group contains system attributes. Please move system attributes to another group and try again.","該屬性組包含系統屬性。請將系統屬性移到另外一個組後再試。"
"This is a required option","必填項"
"This search no longer exists","該搜索已不存在"
"Tier Pricing","分級價格"
"Tile","排列"
"Title","標題"
"Top/Left","上/左"
"Top/Right","上/右"
"Total Qty Base Items","基本商品總件數"
"Total incl. Tax: %1$s","總計含稅: %1$s"
"Total of %d record(s) were successfully deleted","成功刪除%d個記錄"
"Total of %d record(s) were successfully updated","成功更新%d個記錄"
"Type","類型"
"Unable to complete request. Please try again later.","無法完成請求，請稍後再試。"
"Unable to find a search term to delete","沒有找到要刪除的搜索關鍵詞"
"Unable to find an attribute to delete","沒有找到要刪除的屬性"
"Unable to get product id.","無法取得商品編號。"
"Unassigned Attributes","尚未指定的屬性"
"Unique Value","唯一值"
"Unique Value (not shared with other products)","唯一值 (沒有與其它商品共享)"
"Unknown attribute: %s","未知屬性：%s"
"Up-sells","推薦銷售"
"Update","更新"
"Update Attributes","更新屬性"
"Update Tier Price","更新分層價格"
"Update assigned product","更新被指定的商品"
"Update attributes","更新屬性"
"Update category","更新目錄"
"Update product","更新商品"
"Update product image","更新商品圖片"
"Update product link","更新商品連接"
"Update product tier prices","更新商品分層價格"
"Upload new product image ","上傳商品圖片 "
"Url","網址"
"Url Rewrite Management","Url Rewrite管理"
"Url rewrie save problem.","網址重寫保存問題。"
"Use Config Settings","使用可設置設定"
"Use Default Value","使用默認值"
"Use Flat Catalog Category","使用單層（Flat）目錄分類"
"Use Flat Catalog Product","使用單層（Flat） 商品目錄"
"Use In Layered Navigation","使用於Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用於分級導航<br/>(僅用於目錄輸入類型'下拉菜單')"
"Use In Search Results Layered Navigation","使用搜尋結果於Layered Navigation"
"Use JavaScript Calendar","使用JavaScript月曆"
"Use To Create Configurable Product","使用於創建可設置商品"
"Use Tree Like Category Sitemap","使用樹狀目錄檢索"
"Use categories path for product URLs","商品網址使用分類路徑"
"Use in advanced search","用於高級搜索"
"Use in quick search","用於快速搜索"
"Values Required","必填項"
"Varchar","變量"
"View as","查看"
"Virtual Product","虛擬商品"
"Visibility","可顯示"
"Visible","可顯示"
"Visible on Catalog Pages on Front-end","顯示於前台目錄頁"
"Visible on Product View Page on Front-end","顯示於前台商品頁"
"Watermark","水印"
"Watermark Default Size","水印默認尺寸"
"Watermark Position","水印位置"
"We Also Recommend","我們推薦的商品"
"Website","網站"
"Websites","網站"
"Wrong option type to get group instance.","選項分組裡錯誤讀取分組實例。"
"Year Range","年限"
"Yes","是"
"Yes/No","是/否"
"You cannot delete this attribute","無法刪除該屬性"
"You cannot edit this attribute","無法修改該屬性"
"You cannot remove system attribute from this set.","不能從改組合中刪除系統屬性。"
"You cannot update this attribute","無法更新該屬性"
"You have no items to compare.","您沒有可比較的商品。."
"You may also be interested in the following product(s)","您可能對這些商品感興趣"
"Zoom In","放大"
"Zoom Out","縮小"
"[GLOBAL]","[全站]"
"and","和"
"and above","及以上"
"cache refresh needed","需要刷新緩存"
"categories","目錄分類"
"comma separated","以半角逗號分隔"
"each","每個"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","若非圖片，留空白"
"must be in the allowed values list","必須從允許取值列表中選擇"
"per page","件"
"products","商品"
"px.","px."
"save","儲存"
"select all","全選"
"unselect all","去除全選"
"x","x"
"There are no products matching the selection.","此選擇裡沒有可匹配的商品。"
"Qty:","件數："
"Shop by Look","搭配建議"
"SHOP NOW","立即購買"
"Shop Now","立即購買"
"Shop %s","%s"
"Add to Cart","加入購物袋"
"Out of stock","缺貨"
"Style #","商品號碼"
"View size chart","查看尺碼表"
"Quantity:","數量:"
"Color","顏色:"
"Add to Wishlist","加入我的收藏"
"On Sale","促銷款"
"Wear This With","搭配建議"
"You May Also Like","你可能喜歡"
"Style Details","產品細節"
"Size & Fit","尺寸"
"Fitting Report","試穿報告"
"Review","評論"
"Recently Viewed","最近瀏覽過的"
"Best Sellers","暢銷款"
"%s Items Found","共發現 %s 件商品"
"Page %s of %s","第 %s 頁，共 %s 頁"
"Countries currently ship to","目前配送的地區"
"Photos","圖片"
"Video","視頻"
"SKU#","商品號碼"
"Need to login","需要登錄"
"Not Enough Reward Point" ,"積分不足"
"Unvalid Product Id" ,"無效Gift Card"
"choose one option of amount list","請選擇一項"
"New Arrival","新品"
"Sold Out","售罄"
"On Sale","促銷"
"Pre Sale","VIP先享折扣"
"Home","首頁"
