"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s已添加至我的收藏。點擊<a href=""%2$s"">這裡</a> 繼續購物。"
"%1$s has been updated in your wishlist.","%1$s已在我的收藏更新。"
"%d product(s) have been added to shopping cart: %s.","已成功將%d件商品添加至購物袋: %s."
"%s has been moved to wishlist %s","%s已移至我的收藏 %s。"
"%s tag(s) have been accepted for moderation.","標籤%s已經創建。"
"%s was added to your shopping cart.","已將%s放入您的購物袋。請在結算前檢查您的貨品。"
"%s was removed from your wishlist.","已將%s從收藏夾中刪除。"
"%s was updated in your shopping cart.","%s已在您的購物袋更新。"
"Coupon code ""%s"" was applied.","已使用優惠碼""%s""。"
"Coupon code was canceled.","已取消使用優惠碼。"
"Customer email is required","您的電郵地址是必須填寫的。"
"Email address is required.","電郵地址是必須填寫的。"
"Entered data is incorrect. Please try again.","輸入的數據錯誤。請重試。"
"Express Checkout and Order have been canceled.","快速支付和訂單已取消。"
"Express Checkout has been canceled.","快速支付已取消。"
"Facebook connection failed.","以Facebook帳戶登入失敗。"
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook不能提供要求的所有信息，請先註冊然後再進行Facebook帳號關聯。"
"Failed to unsubscribe.","退訂失敗。"
"Gift Card ""%s"" was added.","已添加禮品卡""%s""。"
"Gift Card ""%s"" was redeemed.","已兌換禮品卡""%s""。"
"Gift Card ""%s"" was removed.","已刪除禮品卡""%s""。"
"If there is an account associated with %s you will receive an email with a link to reset your password.","如果有賬號關聯至%s,您將收到一封郵件來重置您的密碼。"
"Insufficient reward points.","您的積分餘額不足。"
"Invalid ""State/Province"" type.","""省份""類別錯誤。"
"Invalid current password","密碼錯誤。"
"Invalid email address.","電郵地址錯誤。"
"Invalid gift card product.","該禮品卡不存在。"
"Invalid login or password.","帳戶名稱或密碼錯誤。"
"Invalid password reset token.","重置的密碼錯誤。"
"Invalid subscription confirmation code.","驗證碼錯誤。"
"Invalid subscription ID.","錯誤的訂閱帳號。"
"Login and password are required.","請填寫賬號和密碼。"
"New password field cannot be empty.","新密碼欄不能空白。"
"New RMA request has been successfully added","新的退換貨申請已成功添加。"
"Not Sufficient Reward Points for Gift Card !","沒有足夠的積分兌換禮品卡。"
"Not Sufficient Reward Points for Gift Product !","沒有足夠的積分兌換禮品。"
"Order place error.","配送地址錯誤。"
"Order ID and customer email didn't match each other","訂單號或電郵地址錯誤"
"Please agree to all Terms and Conditions before placing the order.","請閱讀並同意遵守熙熙網的使用條款。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","請輸入至少6位的帳戶密碼，避免輸入空格或符號。"
"Please enter your email.","請輸入您的電郵地址。"
"Please, check your email for confirmation key.","請查看電郵中的驗證碼。"
"Please login first.","請先登入"
"Please make sure your passwords match.","輸入的密碼不匹配。"
"Please specify the product's option(s).","請選擇商品。"
"Please specify payment method.","請選擇付款方式。"
"Please specify shipping method.","請選擇配送方式。"
"Processing...","處理中…"
"Redeem success! Your gift card code is %s and has been sent to your email","兌換成功！您已獲得禮品卡 %s，請到您的郵箱中查收"
"Requested link does not exist.","指定的鏈接不存在。"
"Reward Points ""%s"" were converted to ""%s"" in gift card","""%s""積分已轉化成禮品卡""%s""."
"reward points more than num in your account","您的賬戶沒有足夠的積分。"
"Reward points will not be used in this order.","這個訂單不能使用積分。"
"Service temporarily unavailable.","暫時未能提供服務。"
"Shopping cart has been updated with appropriate prices","您的購物袋已更新。"
"Signing in...","登入中…"
"Some emails were not sent.","部分電郵未能成功發送。"
"Some of the requested products are not available in the desired quantity.","部分商品沒有足夠庫存。"
"Some of the requested products are unavailable.","部分商品已下架。"
"Sorry, there was an error getting requested content. Please contact the store owner.","很抱歉，下載內容時發生錯誤。請聯絡CentralCentralShop.com客戶服務部。"
"State/Province does not exist.","省份不存在。"
"State/Province is required.","省份是必須填寫的。"
"Subtotal must exceed minimum order amount","訂單必須超過最小訂單金額。"
"Success : Cancel Weibo Binding","取消微博綁定成功"
"Tag ""%s"" has already been added to the product.","標籤""%s""已成功添加到這件商品。"
"Tag ""%s"" has been added to the product.","標籤""%s""已成功添加到這件商品。"
"Tag ""%s"" has been rejected by administrator.","標籤""%s""不成功。"
"Thank you for registering with %s","謝謝您使用%s註冊。"
"Thank you for registering with %s.","謝謝您使用%s註冊。"
"Thank you for your subscription.","謝謝您的訂閱。"
"The account information has been saved.","您的賬號信息已保存。"
"The address has been deleted.","地址已刪除。"
"The address has been saved.","地址已保存。"
"The billing agreement ""%s"" has been canceled.","帳單已被取消。"
"The link has expired.","鏈接已過期。"
"The link is not available.","鏈接已不存在。"
"The link to a friend was sent.","這個鏈接已成功發送給您的朋友。"
"The messages cannot be sent more than %d times in an hour","這個信息不能在一個小時內重複發送多於%d次。"
"The onepage checkout is disabled.","不支持單頁面付款。"
"The product was not found.","找不到商品。"
"The reward points have been removed from the order.","積分已從訂單中刪除。"
"The subscription has been removed.","訂閱已刪除。"
"The subscription has been saved.","訂閱已保存。"
"The tag has been deleted.","標籤已刪除。"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","這個電郵地址已經存在。如果您確定這是您的電子郵箱，請<a href=""%s"">點擊這裡</a>來獲取您的賬號密碼。"
"There was a problem with the subscription.","訂閱時出現問題。"
"There was a problem with the subscription: %s","%s"
"There was a problem with the un-subscription.","取消訂閱時出現問題。"
"This account is not confirmed.","此帳戶尚未確認。"
"This account is not confirmed. <a href="%s">Click here</a> to resend confirmation email.","此帳戶尚未確認。<a href="%s">點擊這裡</a>重新發送驗證郵件。"
"This is a required field.","此為必填欄目。"
"Please select an option.","請選擇。"
"Mobilephone Not Match Rule.","手機號不符合規則。"
"This customer email already exists","此電郵地址已經存在。"
"This email address is already assigned to another user.","此電郵地址已經被註冊。"
"This email address has been subscribed.","此電郵地址已訂閱熙熙網電子雜誌。謝謝！"
"This email does not require confirmation.","此郵件不要求驗證。"
"This order has been placed by registered customer. Please, authorize and request RMA via customer account.","請登入我的賬戶申請退換貨"
"This product(s) is currently out of stock","此商品暫時缺貨。"
"This product(s) is currently out of stock","此商品暫時缺貨。"
"To proceed to Checkout, please log in using your email address.","請使用您的電郵地址登陸進行結算。"
"Unable to cancel Express Checkout.","不能取消快速支付。"
"Unable to initialize Express Checkout review.","不能初始化快速支付。"
"Unable to place the order.","未能成功下單。"
"Unable to process Express Checkout approval.","不能處理快速支付。"
"Unable to remove tag. Please, try again later.","不能刪除標籤。請稍後重試。"
"Unable to save tag(s).","不能保存標籤。"
"Unable to start Express Checkout.","不能開始快速支付。"
"Unable to submit your request. Please, try again later","未能提交您的要求，請稍後再試"
"Unable to update Order data.","未能更新訂單數據。"
"Unable to update shipping method.","未能更新配送方式。"
"Wishlist could not be created.","未能建立收藏夾。"
"Wishlist could not be created.","未能建立收藏夾。"
"Wrong customer account specified.","帳號錯誤。"
"Wrong email.","電郵地址錯誤。"
"Wrong gift card code.","禮品卡代碼錯誤。"
"Wrong form data","數據格式錯誤。"
"You can't comment resolved RMA","已完成的退換貨申請不能提交評論。"
"You have been unsubscribed.","您已經取消訂閱。"
"You have been unsubscribed.","您已經取消訂閱。"
"You have no completed orders to request RMA or your orders were placed more than 30 days ago","您沒有符合退換貨要求的訂單。"
"You will receive welcome email with registration info in a moment.","您將很快收到帶有帳戶登入信息的歡迎郵件。"
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","已成功關聯您的facebook賬號。現在可以利用您的facebook賬號進行快速登入。"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的問題已提交，我們會盡快回復。感謝聯繫我們！"
"Your password has been updated.","您的密碼已更新。"
"Your password reset link has expired.","您的密碼重置鏈接已過期。"
"Your RMA is currently waiting for approval","您的退換貨申請正等待審批。"
"Your RMA successfully canceled","您的退換貨申請已成功取消。"
"Your subscription has been confirmed.","您的訂閱已經確認。"
"Your review has been accepted for moderation.","您的評論已提交審核。"
